year,state,populationMaleWhite,populationFemaleWhite,populationMaleBlack,populationFemaleBlack,populationMaleAsian,populationFemaleAsian,populationMaleIndigenous,populationFemaleIndigenous,populationMalePacific,populationFemalePacific,populationOther_x,populationOther_y,populationTwo_x,populationTwo_y,populationMaleHispanic,populationFemaleHispanic,medianAgeMaleWhite,medianAgeFemaleWhite,medianAgeMaleBlack,medianAgeFemaleBlack,medianAgeMaleAsian,medianAgeFemaleAsian,medianAgeMaleIndigenous,medianAgeFemaleIndigenous,medianAgeMalePacific,medianAgeFemalePacific,medianAgeOther_x,medianAgeOther_y,medianAgeTwo_x,medianAgeTwo_y,medianAgeMaleHispanic,medianAgeFemaleHispanic,povertyWhite,povertyAsian,povertyIndigenous,povertyPacific,povertyOther,povertyTwo,povertyHispanic,medianHIncomeWhite,medianHIncomeBlack,medianHIncomeAsian,medianHIncomeIndigenous,medianHIncomePacific,medianHIncomeOther,medianHIncomeTwo,medianHIncomeHispanic,perCapitaIncomeWhite,perCapitaIncomeBlack,perCapitaIncomeAsian,perCapitaIncomeIndigenous,perCapitaIncomePacific,perCapitaIncomeOther,perCapitaIncomeTwo,perCapitaIncomeHispanic,bachelorDegreeMaleWhite,bachelorDegreeFemaleWhite,bachelorDegreeMaleBlack,bachelorDegreeFemaleBlack,bachelorDegreeMaleAsian,bachelorDegreeFemaleAsian,bachelorDegreeMaleIndigenous,bachelorDegreeFemaleIndigenous,bachelorDegreeMalePacific,bachelorDegreeFemalePacific,bachelorDegreeMaleOther,bachelorDegreeMaleTwo,bachelorDegreeFemaleTwo,bachelorDegreeMaleHispanic,bachelorDegreeFemaleHispanic,veteranMaleWhite,veteranFemaleWhite,veteranMaleBlack,veteranFemaleBlack,veteranMaleAsian,veteranFemaleAsian,veteranMaleIndigenous,veteranFemaleIndigenous,veteranMalePacific,veteranFemalePacific,veteranMaleOther,veteranFemaleOther,veteranMaleTwo,veteranFemaleTwo,veteranMaleHispanic,veteranFemaleHispanic,laborForceMaleWhite,laborForceFemaleWhite,laborForceMaleBlack,laborForceFemaleBlack,laborForceMaleAsian,laborForceFemaleAsian,laborForceMaleIndigenous,laborForceFemaleIndigenous,laborForceMalePacific,laborForceFemalePacific,laborForceMaleOther,laborForceFemaleOther,laborForceMaleTwo,laborForceFemaleTwo,laborForceMaleHispanic,laborForceFemaleHispanic,population,personalIncome,unemploymentRate,homeownershipRate,realMedianHouseholdIncome,bachelorDegreeRate,povertyRate
2009,Georgia,2728907,2814972,1323440,1495084,131922,136909,12915,11032,2664,2324,203374,146089,65094,67475,415841,319284,37.4,39.7,28.8,32.5,32.4,34,33.3,38.7,27.3,28.4,26.1,22.8,16.6,18.6,26.1,23.1,5412561,262026,22929,4707,341980,128006,717203,57370,36060,62545,39965,51716,37610,44823,38958,30646,17539,25986,20227,21445,12633,13976,13490,588103,580813,123745,189297,46442,41083,1477,1336,192,207,5680,11513,9162,25958,23229,287627,26744,134162,30402,2049,409,2065,298,291,77,2982,590,4565,1284,8494,1585,1845768,1261763,883485,729251,92972,60138,9281,4472,1908,1172,136993,48571,31238,23339,271671,106575,9620846,34213,9.2,67.4,59500,27.5,16.6
2009,Hawaii,173310,144470,18924,12071,230928,262250,1934,1847,57039,55901,9671,6990,141062,136943,58350,52303,38.3,42,30.5,27.9,44.8,47.9,33,42.2,30.5,33.1,28.6,30,23.1,24.1,23.8,24.5,305512,486791,3463,111226,15493,273142,107043,66650,56227,67629,49861,54783,53390,61806,55981,38650,29672,30041,29427,19478,24026,19163,18460,51896,44472,2383,2585,51559,61380,198,341,3667,4416,11181,854,799,4250,4669,23761,3643,5024,2002,17563,1051,414,107,4583,567,1284,179,10282,1237,4828,843,128494,69966,15006,6445,152898,124138,1579,876,38316,25095,7517,3331,82270,58093,35969,21591,1346717,41144,5.9,59.5,76400,29.6,10.4
2009,Idaho,635120,636714,5068,3962,7266,9473,8729,9623,938,889,19253,16453,18083,18371,79838,70141,35.4,37.5,22.9,18.3,30.3,33.7,30.6,30,22.8,34.3,26.8,25.7,17.9,17.9,23.6,21.8,1243445,16262,17664,1786,35213,34561,146351,47736,37672,47588,34733,75192,38758,36420,34364,23871,13294,21338,14204,16176,13379,11194,11986,107929,97982,656,376,2105,2257,474,562,18,57,1119,849,699,3285,2248,69618,6640,499,152,218,12,677,76,47,21,581,46,1355,167,2238,317,414570,286485,3229,1441,4901,3825,5883,3694,648,498,12723,6893,9217,5925,48454,25388,1554439,31200,7.6,75.5,64220,23.9,14.4
2009,Illinois,4079161,4251573,878138,997629,263914,274814,11831,11377,1468,1991,498068,446901,103353,104705,986783,885836,39,41.7,29,33.7,33.2,34.6,35.1,37.5,28.4,35,26.8,26.3,15.4,16.7,26.6,25.8,8119103,527874,22185,3256,933444,201224,1842457,60511,34456,72528,43841,39981,44719,48025,46883,33896,17713,31153,20463,29575,14658,13592,15437,963267,955296,79697,122610,111620,108547,1365,1384,416,587,8957,22536,21998,55543,55394,337955,23787,67290,9300,4411,442,1419,171,156,23,8103,972,4280,582,19443,1849,2771669,2033636,566908,453954,188421,128979,8758,5409,1122,1221,330871,179964,47145,34363,639978,349332,12796778,41088,8.4,69.1,72580,30.6,13.3
2009,Indiana,2590351,2688428,263402,285596,40726,44744,7361,7131,688,775,78520,65761,55681,55931,173188,148132,37.2,39.9,28.7,32.3,30.1,32.3,35.9,41,26.3,38.5,26.6,24.1,16.3,16.7,25.9,23.7,5124436,81895,13750,1397,141236,106159,313401,49950,30380,53714,38340,38438,36994,35997,37666,25632,16436,27195,19132,20973,13327,11335,14001,399893,401608,19875,25919,15975,14191,689,598,54,71,3633,3824,3702,9386,8478,248311,16777,24822,3173,683,184,1187,187,24,52,2398,223,3185,468,5942,532,1734347,1245135,169983,133063,29727,19047,5707,3147,424,394,51559,23909,26606,17593,109809,53743,6459325,34200,9,72,60830,22.5,14.4
2009,Iowa,1321118,1371905,36752,35351,22384,24708,4824,4580,408,424,25741,20414,21828,21638,65172,56931,38.4,41.2,25.5,25.8,29.7,30.1,28.6,28.7,23.4,32.9,25.1,23.7,14.6,14.3,24.1,21.8,2604064,44943,8855,778,44755,41332,118186,49117,24840,53039,31138,34250,37818,33376,37152,26159,14432,23012,13122,23549,13335,9233,13087,214267,228271,3304,2811,6722,6253,297,418,18,22,1178,1067,905,3110,3047,124491,8776,2259,206,503,222,404,70,12,0,779,27,1246,189,1876,199,875446,683989,24282,15920,16057,11352,3080,1849,279,307,17402,8156,9612,6274,40219,21383,3032870,37246,5.6,72.4,69630,25.1,11.8
2009,Kansas,1099406,1138501,78768,78353,29088,31147,11542,11180,958,656,43756,37447,36931,35602,129756,114858,37.4,40.5,28.4,30.3,31.5,31.9,30.2,31.5,26.4,28.2,27,26.7,17.5,17.9,24.9,23.6,2174935,58337,21079,1556,79630,68276,238326,50750,31695,58713,38924,48750,36409,37253,36947,27823,17162,24538,17309,23831,14481,11853,13635,229011,229083,7457,8429,9815,8250,1243,1259,79,133,2318,1913,2204,6376,6562,111326,10157,8971,1533,613,224,1125,136,82,41,1329,116,2428,270,4336,579,732067,552344,52849,37906,21395,15100,7882,5176,706,344,29070,16038,18363,12155,80527,45366,2832704,39382,5.8,67.4,61390,29.5,13.2
2009,Kentucky,1821312,1906007,156063,162911,19823,23073,4395,3798,1284,1555,21250,16137,29029,29183,56378,44666,37.3,40,29.2,33.2,31.7,32.9,37,40,24.8,31.4,25,21.3,13.9,15.4,25.1,22.1,3629044,41655,7704,2622,36029,55558,97128,42466,28511,58590,27479,28333,34163,29963,36073,23161,15867,30353,17606,15896,11509,10351,13242,245159,268777,10892,14671,8130,6863,485,450,79,70,1636,1047,775,3913,3307,171026,14329,17058,2731,498,122,758,88,249,85,571,171,1738,280,2341,636,1227882,819604,105457,75971,14346,9479,3308,1454,930,838,14483,5253,11553,7569,36235,14770,4317074,32198,9.4,71.2,58570,21,18.4
2009,Louisiana,1338359,1390913,664437,741202,31333,31971,12800,12109,484,547,24146,18353,25472,26736,77204,68869,37.8,40.5,27.5,31.5,30.5,33.9,32.7,35.9,36.5,36.7,29,28,18.3,19.6,28.8,30,2668765,62243,24319,977,40855,50748,140399,51057,26256,50457,37056,57566,38586,35867,39638,27516,13627,23050,18793,19985,16784,13294,18053,217858,229286,33637,64865,7766,7110,867,778,59,56,1739,1747,1815,7077,8158,123660,9265,52179,7538,643,147,1138,247,60,13,1151,257,1648,241,4120,773,898857,589859,428668,325265,22388,13982,8741,4568,440,309,17597,7836,12519,8285,52011,27033,4491648,36803,6,71.9,62370,21.4,17.6
2009,Maine,606282,637843,8549,6909,5553,6831,3377,3259,163,124,2339,2203,11529,11368,8227,8417,41,43.4,21.1,17.8,28.2,31.3,35.5,37.3,30.9,53.5,28.1,27.1,20.7,21.8,25.2,23.3,1211359,11624,6168,239,4304,21545,15751,47102,27091,43911,23811,48009,36679,33413,36480,25617,11713,18576,14220,14341,14913,11794,14626,107958,124134,874,394,1540,1511,228,230,3,10,543,241,265,889,867,74347,6845,614,67,159,25,393,62,27,0,231,11,1063,173,843,200,411357,310554,4859,2271,3812,2973,2571,1332,142,41,1653,958,6603,4098,5313,3549,1329590,37107,7.5,74,65210,26.9,12.6
