year,state,populationMaleWhite,populationFemaleWhite,populationMaleBlack,populationFemaleBlack,populationMaleAsian,populationFemaleAsian,populationMaleIndigenous,populationFemaleIndigenous,populationMalePacific,populationFemalePacific,populationOther_x,populationOther_y,populationTwo_x,populationTwo_y,populationMaleHispanic,populationFemaleHispanic,medianAgeMaleWhite,medianAgeFemaleWhite,medianAgeMaleBlack,medianAgeFemaleBlack,medianAgeMaleAsian,medianAgeFemaleAsian,medianAgeMaleIndigenous,medianAgeFemaleIndigenous,medianAgeMalePacific,medianAgeFemalePacific,medianAgeOther_x,medianAgeOther_y,medianAgeTwo_x,medianAgeTwo_y,medianAgeMaleHispanic,medianAgeFemaleHispanic,povertyWhite,povertyAsian,povertyIndigenous,povertyPacific,povertyOther,povertyTwo,povertyHispanic,medianHIncomeWhite,medianHIncomeBlack,medianHIncomeAsian,medianHIncomeIndigenous,medianHIncomePacific,medianHIncomeOther,medianHIncomeTwo,medianHIncomeHispanic,perCapitaIncomeWhite,perCapitaIncomeBlack,perCapitaIncomeAsian,perCapitaIncomeIndigenous,perCapitaIncomePacific,perCapitaIncomeOther,perCapitaIncomeTwo,perCapitaIncomeHispanic,bachelorDegreeMaleWhite,bachelorDegreeFemaleWhite,bachelorDegreeMaleBlack,bachelorDegreeFemaleBlack,bachelorDegreeMaleAsian,bachelorDegreeFemaleAsian,bachelorDegreeMaleIndigenous,bachelorDegreeFemaleIndigenous,bachelorDegreeMalePacific,bachelorDegreeFemalePacific,bachelorDegreeMaleOther,bachelorDegreeMaleTwo,bachelorDegreeFemaleTwo,bachelorDegreeMaleHispanic,bachelorDegreeFemaleHispanic,veteranMaleWhite,veteranFemaleWhite,veteranMaleBlack,veteranFemaleBlack,veteranMaleAsian,veteranFemaleAsian,veteranMaleIndigenous,veteranFemaleIndigenous,veteranMalePacific,veteranFemalePacific,veteranMaleOther,veteranFemaleOther,veteranMaleTwo,veteranFemaleTwo,veteranMaleHispanic,veteranFemaleHispanic,laborForceMaleWhite,laborForceFemaleWhite,laborForceMaleBlack,laborForceFemaleBlack,laborForceMaleAsian,laborForceFemaleAsian,laborForceMaleIndigenous,laborForceFemaleIndigenous,laborForceMalePacific,laborForceFemalePacific,laborForceMaleOther,laborForceFemaleOther,laborForceMaleTwo,laborForceFemaleTwo,laborForceMaleHispanic,laborForceFemaleHispanic,population,personalIncome,unemploymentRate,homeownershipRate,realMedianHouseholdIncome,bachelorDegreeRate,povertyRate
2009,Georgia,2728907.0,2814972.0,1323440.0,1495084.0,131922.0,136909.0,12915.0,11032.0,2664.0,2324.0,203374.0,146089.0,65094.0,67475.0,415841.0,319284.0,37.4,39.7,28.8,32.5,32.4,34.0,33.3,38.7,27.3,28.4,26.1,22.8,16.6,18.6,26.1,23.1,5412561.0,262026.0,22929.0,4707.0,341980.0,128006.0,717203.0,57370.0,36060.0,62545.0,39965.0,51716.0,37610.0,44823.0,38958.0,30646.0,17539.0,25986.0,20227.0,21445.0,12633.0,13976.0,13490.0,588103.0,580813.0,123745.0,189297.0,46442.0,41083.0,1477.0,1336.0,192.0,207.0,5680.0,11513.0,9162.0,25958.0,23229.0,287627.0,26744.0,134162.0,30402.0,2049.0,409.0,2065.0,298.0,291.0,77.0,2982.0,590.0,4565.0,1284.0,8494.0,1585.0,1845768.0,1261763.0,883485.0,729251.0,92972.0,60138.0,9281.0,4472.0,1908.0,1172.0,136993.0,48571.0,31238.0,23339.0,271671.0,106575.0,9620.846,34213.0,9.2,67.4,59500.0,27.5,16.6
2009,Hawaii,173310.0,144470.0,18924.0,12071.0,230928.0,262250.0,1934.0,1847.0,57039.0,55901.0,9671.0,6990.0,141062.0,136943.0,58350.0,52303.0,38.3,42.0,30.5,27.9,44.8,47.9,33.0,42.2,30.5,33.1,28.6,30.0,23.1,24.1,23.8,24.5,305512.0,486791.0,3463.0,111226.0,15493.0,273142.0,107043.0,66650.0,56227.0,67629.0,49861.0,54783.0,53390.0,61806.0,55981.0,38650.0,29672.0,30041.0,29427.0,19478.0,24026.0,19163.0,18460.0,51896.0,44472.0,2383.0,2585.0,51559.0,61380.0,198.0,341.0,3667.0,4416.0,11181.0,854.0,799.0,4250.0,4669.0,23761.0,3643.0,5024.0,2002.0,17563.0,1051.0,414.0,107.0,4583.0,567.0,1284.0,179.0,10282.0,1237.0,4828.0,843.0,128494.0,69966.0,15006.0,6445.0,152898.0,124138.0,1579.0,876.0,38316.0,25095.0,7517.0,3331.0,82270.0,58093.0,35969.0,21591.0,1346.717,41144.0,5.9,59.5,76400.0,29.6,10.4
2009,Idaho,635120.0,636714.0,5068.0,3962.0,7266.0,9473.0,8729.0,9623.0,938.0,889.0,19253.0,16453.0,18083.0,18371.0,79838.0,70141.0,35.4,37.5,22.9,18.3,30.3,33.7,30.6,30.0,22.8,34.3,26.8,25.7,17.9,17.9,23.6,21.8,1243445.0,16262.0,17664.0,1786.0,35213.0,34561.0,146351.0,47736.0,37672.0,47588.0,34733.0,75192.0,38758.0,36420.0,34364.0,23871.0,13294.0,21338.0,14204.0,16176.0,13379.0,11194.0,11986.0,107929.0,97982.0,656.0,376.0,2105.0,2257.0,474.0,562.0,18.0,57.0,1119.0,849.0,699.0,3285.0,2248.0,69618.0,6640.0,499.0,152.0,218.0,12.0,677.0,76.0,47.0,21.0,581.0,46.0,1355.0,167.0,2238.0,317.0,414570.0,286485.0,3229.0,1441.0,4901.0,3825.0,5883.0,3694.0,648.0,498.0,12723.0,6893.0,9217.0,5925.0,48454.0,25388.0,1554.439,31200.0,7.6,75.5,64220.0,23.9,14.4
2009,Illinois,4079161.0,4251573.0,878138.0,997629.0,263914.0,274814.0,11831.0,11377.0,1468.0,1991.0,498068.0,446901.0,103353.0,104705.0,986783.0,885836.0,39.0,41.7,29.0,33.7,33.2,34.6,35.1,37.5,28.4,35.0,26.8,26.3,15.4,16.7,26.6,25.8,8119103.0,527874.0,22185.0,3256.0,933444.0,201224.0,1842457.0,60511.0,34456.0,72528.0,43841.0,39981.0,44719.0,48025.0,46883.0,33896.0,17713.0,31153.0,20463.0,29575.0,14658.0,13592.0,15437.0,963267.0,955296.0,79697.0,122610.0,111620.0,108547.0,1365.0,1384.0,416.0,587.0,8957.0,22536.0,21998.0,55543.0,55394.0,337955.0,23787.0,67290.0,9300.0,4411.0,442.0,1419.0,171.0,156.0,23.0,8103.0,972.0,4280.0,582.0,19443.0,1849.0,2771669.0,2033636.0,566908.0,453954.0,188421.0,128979.0,8758.0,5409.0,1122.0,1221.0,330871.0,179964.0,47145.0,34363.0,639978.0,349332.0,12796.778,41088.0,8.4,69.1,72580.0,30.6,13.3
2009,Indiana,2590351.0,2688428.0,263402.0,285596.0,40726.0,44744.0,7361.0,7131.0,688.0,775.0,78520.0,65761.0,55681.0,55931.0,173188.0,148132.0,37.2,39.9,28.7,32.3,30.1,32.3,35.9,41.0,26.3,38.5,26.6,24.1,16.3,16.7,25.9,23.7,5124436.0,81895.0,13750.0,1397.0,141236.0,106159.0,313401.0,49950.0,30380.0,53714.0,38340.0,38438.0,36994.0,35997.0,37666.0,25632.0,16436.0,27195.0,19132.0,20973.0,13327.0,11335.0,14001.0,399893.0,401608.0,19875.0,25919.0,15975.0,14191.0,689.0,598.0,54.0,71.0,3633.0,3824.0,3702.0,9386.0,8478.0,248311.0,16777.0,24822.0,3173.0,683.0,184.0,1187.0,187.0,24.0,52.0,2398.0,223.0,3185.0,468.0,5942.0,532.0,1734347.0,1245135.0,169983.0,133063.0,29727.0,19047.0,5707.0,3147.0,424.0,394.0,51559.0,23909.0,26606.0,17593.0,109809.0,53743.0,6459.325,34200.0,9.0,72.0,60830.0,22.5,14.4
2009,Iowa,1321118.0,1371905.0,36752.0,35351.0,22384.0,24708.0,4824.0,4580.0,408.0,424.0,25741.0,20414.0,21828.0,21638.0,65172.0,56931.0,38.4,41.2,25.5,25.8,29.7,30.1,28.6,28.7,23.4,32.9,25.1,23.7,14.6,14.3,24.1,21.8,2604064.0,44943.0,8855.0,778.0,44755.0,41332.0,118186.0,49117.0,24840.0,53039.0,31138.0,34250.0,37818.0,33376.0,37152.0,26159.0,14432.0,23012.0,13122.0,23549.0,13335.0,9233.0,13087.0,214267.0,228271.0,3304.0,2811.0,6722.0,6253.0,297.0,418.0,18.0,22.0,1178.0,1067.0,905.0,3110.0,3047.0,124491.0,8776.0,2259.0,206.0,503.0,222.0,404.0,70.0,12.0,0.0,779.0,27.0,1246.0,189.0,1876.0,199.0,875446.0,683989.0,24282.0,15920.0,16057.0,11352.0,3080.0,1849.0,279.0,307.0,17402.0,8156.0,9612.0,6274.0,40219.0,21383.0,3032.87,37246.0,5.6,72.4,69630.0,25.1,11.8
2009,Kansas,1099406.0,1138501.0,78768.0,78353.0,29088.0,31147.0,11542.0,11180.0,958.0,656.0,43756.0,37447.0,36931.0,35602.0,129756.0,114858.0,37.4,40.5,28.4,30.3,31.5,31.9,30.2,31.5,26.4,28.2,27.0,26.7,17.5,17.9,24.9,23.6,2174935.0,58337.0,21079.0,1556.0,79630.0,68276.0,238326.0,50750.0,31695.0,58713.0,38924.0,48750.0,36409.0,37253.0,36947.0,27823.0,17162.0,24538.0,17309.0,23831.0,14481.0,11853.0,13635.0,229011.0,229083.0,7457.0,8429.0,9815.0,8250.0,1243.0,1259.0,79.0,133.0,2318.0,1913.0,2204.0,6376.0,6562.0,111326.0,10157.0,8971.0,1533.0,613.0,224.0,1125.0,136.0,82.0,41.0,1329.0,116.0,2428.0,270.0,4336.0,579.0,732067.0,552344.0,52849.0,37906.0,21395.0,15100.0,7882.0,5176.0,706.0,344.0,29070.0,16038.0,18363.0,12155.0,80527.0,45366.0,2832.704,39382.0,5.8,67.4,61390.0,29.5,13.2
2009,Kentucky,1821312.0,1906007.0,156063.0,162911.0,19823.0,23073.0,4395.0,3798.0,1284.0,1555.0,21250.0,16137.0,29029.0,29183.0,56378.0,44666.0,37.3,40.0,29.2,33.2,31.7,32.9,37.0,40.0,24.8,31.4,25.0,21.3,13.9,15.4,25.1,22.1,3629044.0,41655.0,7704.0,2622.0,36029.0,55558.0,97128.0,42466.0,28511.0,58590.0,27479.0,28333.0,34163.0,29963.0,36073.0,23161.0,15867.0,30353.0,17606.0,15896.0,11509.0,10351.0,13242.0,245159.0,268777.0,10892.0,14671.0,8130.0,6863.0,485.0,450.0,79.0,70.0,1636.0,1047.0,775.0,3913.0,3307.0,171026.0,14329.0,17058.0,2731.0,498.0,122.0,758.0,88.0,249.0,85.0,571.0,171.0,1738.0,280.0,2341.0,636.0,1227882.0,819604.0,105457.0,75971.0,14346.0,9479.0,3308.0,1454.0,930.0,838.0,14483.0,5253.0,11553.0,7569.0,36235.0,14770.0,4317.074,32198.0,9.4,71.2,58570.0,21.0,18.4
2009,Louisiana,1338359.0,1390913.0,664437.0,741202.0,31333.0,31971.0,12800.0,12109.0,484.0,547.0,24146.0,18353.0,25472.0,26736.0,77204.0,68869.0,37.8,40.5,27.5,31.5,30.5,33.9,32.7,35.9,36.5,36.7,29.0,28.0,18.3,19.6,28.8,30.0,2668765.0,62243.0,24319.0,977.0,40855.0,50748.0,140399.0,51057.0,26256.0,50457.0,37056.0,57566.0,38586.0,35867.0,39638.0,27516.0,13627.0,23050.0,18793.0,19985.0,16784.0,13294.0,18053.0,217858.0,229286.0,33637.0,64865.0,7766.0,7110.0,867.0,778.0,59.0,56.0,1739.0,1747.0,1815.0,7077.0,8158.0,123660.0,9265.0,52179.0,7538.0,643.0,147.0,1138.0,247.0,60.0,13.0,1151.0,257.0,1648.0,241.0,4120.0,773.0,898857.0,589859.0,428668.0,325265.0,22388.0,13982.0,8741.0,4568.0,440.0,309.0,17597.0,7836.0,12519.0,8285.0,52011.0,27033.0,4491.648,36803.0,6.0,71.9,62370.0,21.4,17.6
2009,Maine,606282.0,637843.0,8549.0,6909.0,5553.0,6831.0,3377.0,3259.0,163.0,124.0,2339.0,2203.0,11529.0,11368.0,8227.0,8417.0,41.0,43.4,21.1,17.8,28.2,31.3,35.5,37.3,30.9,53.5,28.1,27.1,20.7,21.8,25.2,23.3,1211359.0,11624.0,6168.0,239.0,4304.0,21545.0,15751.0,47102.0,27091.0,43911.0,23811.0,48009.0,36679.0,33413.0,36480.0,25617.0,11713.0,18576.0,14220.0,14341.0,14913.0,11794.0,14626.0,107958.0,124134.0,874.0,394.0,1540.0,1511.0,228.0,230.0,3.0,10.0,543.0,241.0,265.0,889.0,867.0,74347.0,6845.0,614.0,67.0,159.0,25.0,393.0,62.0,27.0,0.0,231.0,11.0,1063.0,173.0,843.0,200.0,411357.0,310554.0,4859.0,2271.0,3812.0,2973.0,2571.0,1332.0,142.0,41.0,1653.0,958.0,6603.0,4098.0,5313.0,3549.0,1329.59,37107.0,7.5,74.0,65210.0,26.9,12.6
